cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
1,8,0,1,0.000000,"192.168.10.184","192.168.10.196",6,74,0,0.000000,0x0002,0,0,65535,"52343 → 5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=2027714706 TSecr=0"
1,8,0,2,0.105354,"192.168.10.196","192.168.10.184",6,66,0,0.105354,0x0012,1,0,65535,"5201 → 52343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM"
2,8,0,3,0.105449,"192.168.10.184","192.168.10.196",6,54,0,0.000095,0x0010,1,1,4096,"52343 → 5201 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
4,8,0,4,0.105480,"192.168.10.184","192.168.10.196",6,91,37,0.000031,0x0018,1,1,4096,"52343 → 5201 Cookie: Chriss-MBP.1587504839.785272.09f51cc"
8,8,0,5,0.268582,"192.168.10.196","192.168.10.184",6,54,0,0.163102,0x0010,38,1,53238,"5201 → 52343 [ACK] Seq=1 Ack=38 Win=212952 Len=0"
9,8,0,6,0.350994,"192.168.10.184","192.168.10.196",6,1514,1460,0.082412,0x0010,1,38,4096,"52343 → 5201 Unknown 84(84) Unknown -5(-5) Unknown 49(49) Unknown 81(81) Unknown -74(-74) Unknown 70(70) Unknown 85(85) Unknown -29(-29) Unknown -118(-118) Unknown 48(48) Unknown 43(43) TEST_START(1) PARAM_EXCHANGE(9) Next message is JSON of this length: 3761114960[BoundErrorUnreassembled Packet]"
10,8,1,7,0.350994,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,1498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,5,0,8,0.350995,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,5,0,9,0.350995,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,4418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,5,0,10,0.351003,"192.168.10.184","192.168.10.196",6,1514,1460,0.000008,0x0010,1,5878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
8,5,1,11,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,7338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,4,0,12,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,8798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,4,0,13,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,10258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,4,0,14,0.460172,"192.168.10.196","192.168.10.184",6,54,0,0.109168,0x0010,11718,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=11718 Win=212992 Len=0"
7,4,0,15,0.460234,"192.168.10.184","192.168.10.196",6,1514,1460,0.000062,0x0010,1,11718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
8,4,1,16,0.460234,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,13178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,4,0,17,0.460235,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,14638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,4,0,18,0.460235,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,16098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,4,0,19,0.460236,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,17558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,4,1,20,0.460236,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,19018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,21,0.460237,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,20478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,22,0.460237,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,21938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,23,0.460238,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,23398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,24,0.460238,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,24858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,25,0.592291,"192.168.10.196","192.168.10.184",6,54,0,0.132053,0x0010,26318,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=26318 Win=212992 Len=0"
4,3,0,26,0.592451,"192.168.10.184","192.168.10.196",6,1514,1460,0.000160,0x0010,1,26318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,27,0.592454,"192.168.10.184","192.168.10.196",6,1514,1460,0.000003,0x0010,1,27778,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,28,0.592455,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,29238,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,29,0.592455,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,30698,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,30,0.592457,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,32158,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,31,0.592458,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,33618,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,32,0.592459,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,35078,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,33,0.592460,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,36538,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,34,0.592460,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,37998,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,35,0.592462,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,39458,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,36,0.592463,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,40918,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,37,0.592464,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,42378,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,38,0.714379,"192.168.10.196","192.168.10.184",6,54,0,0.121915,0x0010,43838,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=43838 Win=212992 Len=0"
4,3,0,39,0.714538,"192.168.10.184","192.168.10.196",6,1514,1460,0.000159,0x0010,1,43838,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,40,0.714540,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,45298,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,41,0.714540,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,46758,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,42,0.714541,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,48218,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,43,0.714542,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,49678,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,44,0.714543,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,51138,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,45,0.714543,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,52598,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,46,0.714544,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,54058,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,47,0.714545,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,55518,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,48,0.714546,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,56978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,49,0.714546,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,58438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,50,0.714548,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,59898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,51,0.714549,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,61358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,52,0.714550,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,62818,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,53,0.836374,"192.168.10.196","192.168.10.184",6,54,0,0.121824,0x0010,64278,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=64278 Win=212992 Len=0"
6,3,0,54,0.836513,"192.168.10.184","192.168.10.196",6,1514,1460,0.000139,0x0010,1,64278,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,55,0.836515,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,65738,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,56,0.836516,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,67198,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,57,0.836517,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,68658,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,58,0.836518,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,70118,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,59,0.836520,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,71578,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,60,0.836521,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,73038,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,61,0.836522,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,74498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,62,0.836523,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,75958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,63,0.836524,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,77418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,64,0.836526,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,78878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,65,0.836526,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,80338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,66,0.836661,"192.168.10.184","192.168.10.196",6,1514,1460,0.000135,0x0010,1,81798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,67,0.836662,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,83258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,68,0.836663,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,84718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,69,0.836664,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,86178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,70,0.958504,"192.168.10.196","192.168.10.184",6,54,0,0.121840,0x0010,67198,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=67198 Win=212992 Len=0"
6,3,0,71,0.958561,"192.168.10.184","192.168.10.196",6,1514,1460,0.000057,0x0010,1,87638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,72,0.958561,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,89098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,73,0.958561,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,90558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,74,0.958562,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,92018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,75,0.960054,"192.168.10.196","192.168.10.184",6,54,0,0.001492,0x0010,80338,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=80338 Win=212992 Len=0"
6,3,0,76,0.960096,"192.168.10.184","192.168.10.196",6,1514,1460,0.000042,0x0010,1,93478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,77,0.960096,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,94938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,78,0.960096,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,96398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,79,0.960097,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,97858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,80,0.960097,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,99318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,81,0.960097,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,100778,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,82,0.960098,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,102238,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,83,0.960098,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,103698,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,84,0.960098,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,105158,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,85,0.960099,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,106618,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,86,0.960099,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,108078,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,87,0.961039,"192.168.10.196","192.168.10.184",6,54,0,0.000940,0x0010,86178,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=86178 Win=212992 Len=0"
5,3,0,88,0.961071,"192.168.10.184","192.168.10.196",6,1514,1460,0.000032,0x0010,1,109538,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,89,0.961072,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,110998,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,90,0.961072,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,112458,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,91,0.961072,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,113918,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,92,0.961072,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,115378,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,93,0.961073,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,116838,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,94,0.962944,"192.168.10.196","192.168.10.184",6,54,0,0.001871,0x0010,87638,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=87638 Win=212992 Len=0"
7,3,1,95,0.962972,"192.168.10.184","192.168.10.196",6,1514,1460,0.000028,0x0010,1,118298,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,96,0.962972,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,119758,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,97,1.073041,"192.168.10.196","192.168.10.184",6,54,0,0.110069,0x0010,93478,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=93478 Win=212992 Len=0"
5,3,0,98,1.073164,"192.168.10.184","192.168.10.196",6,1514,1460,0.000123,0x0010,1,121218,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,99,1.073165,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,122678,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,100,1.073166,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,124138,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,101,1.073167,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,125598,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,102,1.073168,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,127058,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,103,1.073169,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,128518,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,104,1.074699,"192.168.10.196","192.168.10.184",6,54,0,0.001530,0x0010,109538,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=109538 Win=212992 Len=0"
7,3,1,105,1.074839,"192.168.10.184","192.168.10.196",6,1514,1460,0.000140,0x0010,1,129978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,106,1.074840,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,131438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,107,1.074841,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,132898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,108,1.074842,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,134358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,109,1.074843,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,135818,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,110,1.074844,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,137278,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,111,1.074845,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,138738,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,112,1.074846,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,140198,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,113,1.074847,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,141658,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,114,1.074848,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,143118,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,115,1.074848,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,144578,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,116,1.074850,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,146038,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,117,1.074851,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,147498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,118,1.076119,"192.168.10.196","192.168.10.184",6,54,0,0.001268,0x0010,118298,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=118298 Win=212992 Len=0"
4,3,0,119,1.076243,"192.168.10.184","192.168.10.196",6,1514,1460,0.000124,0x0010,1,148958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,120,1.076245,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,150418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,121,1.076246,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,151878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,122,1.076247,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,153338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,123,1.076248,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,154798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,124,1.076248,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,156258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,125,1.076249,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,157718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,126,1.076250,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,159178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,127,1.076762,"192.168.10.196","192.168.10.184",6,54,0,0.000512,0x0010,121218,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=121218 Win=212992 Len=0"
4,3,0,128,1.076873,"192.168.10.184","192.168.10.196",6,1514,1460,0.000111,0x0010,1,160638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,129,1.076875,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,162098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,130,1.076876,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,163558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,131,1.076877,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,165018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,132,1.199130,"192.168.10.196","192.168.10.184",6,54,0,0.122253,0x0010,129978,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=129978 Win=212992 Len=0"
4,3,0,133,1.199261,"192.168.10.184","192.168.10.196",6,1514,1460,0.000131,0x0010,1,166478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,134,1.199262,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,167938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,135,1.199262,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,169398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,136,1.199263,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,170858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,137,1.199264,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,172318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,138,1.199264,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,173778,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,139,1.199265,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,175238,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,140,1.199266,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,176698,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,141,1.200582,"192.168.10.196","192.168.10.184",6,54,0,0.001316,0x0010,147498,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=147498 Win=212992 Len=0"
4,3,0,142,1.200727,"192.168.10.184","192.168.10.196",6,1514,1460,0.000145,0x0010,1,178158,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,143,1.200728,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,179618,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,144,1.200729,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,181078,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,145,1.200730,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,182538,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,146,1.200730,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,183998,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,147,1.200731,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,185458,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,148,1.200732,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,186918,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,149,1.200732,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,188378,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,150,1.200733,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,189838,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,151,1.200734,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,191298,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,152,1.200734,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,192758,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,153,1.200735,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,194218,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,154,1.200736,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,195678,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,155,1.200736,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,197138,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,156,1.200851,"192.168.10.196","192.168.10.184",6,54,0,0.000115,0x0010,160638,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=160638 Win=212992 Len=0"
6,3,0,157,1.200951,"192.168.10.184","192.168.10.196",6,1514,1460,0.000100,0x0010,1,198598,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,158,1.200953,"192.168.10.184","192.168.10.196",6,1514,1460,0.000002,0x0010,1,200058,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,159,1.200954,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,201518,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,160,1.200955,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,202978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,161,1.200955,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,204438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,162,1.200956,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,205898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,163,1.200957,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,207358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
