cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
4,3,0,1881,2.915642,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2538978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1882,2.915643,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2540438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1883,2.915643,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2541898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1884,2.915644,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2543358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1885,2.915645,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2544818,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1886,2.915646,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2546278,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1887,2.915647,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2547738,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1888,2.915648,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2549198,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1889,2.915649,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2550658,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1890,2.915650,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2552118,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1891,2.915651,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2553578,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
